,prevhigh,prevlow,prevclose,prevVolume,symbol,timestamp,pivot,BC,TC,width,symbol_width,averagewidth,WidthShape,R1,R2,R3,R4,S1,S2,S3,S4
19,40.8,39.8,40.05,126229.0,20MICRONS,2021-01-04,40.22,40.3,40.14,0.3978120338140144,20MICRONS,1.2643724884239695,Narrow,40.14,40.23,40.32,40.6,39.96,39.87,39.78,39.5
59,6.75,6.75,6.75,666689.0,3IINFOTECH,2021-01-04,6.75,6.75,6.75,0.0,3IINFOTECH,0.8076891398890886,Narrow,6.75,6.75,6.75,6.75,6.75,6.75,6.75,6.75
79,21243.95,20830.7,21127.6,1663.0,3MINDIA,2021-01-04,21067.42,21037.32,21097.52,0.28574927542148365,3MINDIA,0.46853235950871736,Narrow,21165.48,21203.36,21241.24,21354.89,21089.72,21051.84,21013.96,20900.31
99,11.65,10.8,11.2,18637.0,3PLAND,2021-01-04,11.22,11.23,11.21,0.17825311942958622,3PLAND,0.5042529504552579,Narrow,11.28,11.36,11.43,11.67,11.12,11.04,10.97,10.73
119,307.9,295.0,302.15,10239.0,5PAISA,2021-01-04,301.68,301.45,301.91,0.15247944842218125,5PAISA,0.8187551720455828,Narrow,303.33,304.52,305.7,309.24,300.97,299.78,298.6,295.06
139,83.0,80.05,82.1,32625.0,63MOONS,2021-01-04,81.72,81.53,81.91,0.4650024473812965,63MOONS,0.76703784125262,Narrow,82.37,82.64,82.91,83.72,81.83,81.56,81.29,80.48
159,80.9,78.6,80.45,22243.0,8KMILES,2021-01-04,79.98,79.75,80.21,0.5751437859464787,8KMILES,0.7403114332763278,Narrow,80.66,80.87,81.08,81.72,80.24,80.03,79.82,79.18
199,76.5,74.25,75.3,45460.0,AAKASH,2021-01-04,75.35,75.38,75.32,0.07962840079628704,AAKASH,0.8422250176500403,Narrow,75.51,75.71,75.92,76.54,75.09,74.89,74.68,74.06
219,52.9,50.4,51.85,10752.0,AARON,2021-01-04,51.72,51.65,51.79,0.27068832173240637,AARON,0.8142790549674,Narrow,52.08,52.31,52.54,53.22,51.62,51.39,51.16,50.48
259,1275.0,1242.1,1260.5,406198.0,AARTIIND,2021-01-04,1259.2,1258.55,1259.85,0.10324015247776003,AARTIIND,0.3818421894202613,Narrow,1263.52,1266.53,1269.55,1278.6,1257.48,1254.47,1251.45,1242.4
279,1060.2,1009.0,1025.6,17725.0,AARTISURF,2021-01-04,1031.6,1034.6,1028.6,0.5816207832493215,AARTISURF,0.9025861901291824,Narrow,1030.29,1034.99,1039.68,1053.76,1020.91,1016.21,1011.52,997.44
299,18.85,17.45,18.0,15006.0,AARVEEDEN,2021-01-04,18.1,18.15,18.05,0.552486187845292,AARVEEDEN,1.371413233942634,Narrow,18.13,18.26,18.39,18.77,17.87,17.74,17.61,17.23
359,29.35,28.5,28.9,37768.0,ABAN,2021-01-04,28.92,28.92,28.92,0.0,ABAN,0.7442262220352527,Narrow,28.98,29.06,29.13,29.37,28.82,28.74,28.67,28.43
399,15856.3,15698.0,15746.0,22888.0,ABBOTINDIA,2021-01-04,15766.77,15777.15,15756.39,0.1316693273257631,ABBOTINDIA,0.287355038991365,Narrow,15760.51,15775.02,15789.53,15833.06,15731.49,15716.98,15702.47,15658.94
439,168.8,165.9,166.5,1109915.0,ABFRL,2021-01-04,167.07,167.35,166.79,0.33518884299994156,ABFRL,0.4238671959831647,Narrow,166.77,167.03,167.3,168.1,166.23,165.97,165.7,164.9
479,319.62,305.7,312.28,119.0,ABSLBANETF,2021-01-04,312.53,312.66,312.4,0.08319201356671288,ABSLBANETF,0.5846255716823255,Narrow,313.56,314.83,316.11,319.94,311.0,309.73,308.45,304.62
499,318.6,308.16,313.81,34.0,ABSLNN50ET,2021-01-04,313.52,313.38,313.66,0.08930849706558738,ABSLNN50ET,0.7637820308283545,Narrow,314.77,315.72,316.68,319.55,312.85,311.9,310.94,308.07
519,1632.0,1615.65,1626.1,647892.0,ACC,2021-01-04,1624.58,1623.82,1625.34,0.09356264388334104,ACC,0.4317230700848708,Narrow,1627.6,1629.1,1630.6,1635.09,1624.6,1623.1,1621.6,1617.11
539,968.0,947.9,958.85,4158.0,ACCELYA,2021-01-04,958.25,957.95,958.55,0.06261414036002182,ACCELYA,0.957466309487691,Narrow,960.69,962.54,964.38,969.91,957.01,955.16,953.32,947.8
555,37.75,35.85,36.8,5092.0,ACCURACY,2021-01-04,36.8,36.8,36.8,0.0,ACCURACY,0.9322370117916392,Narrow,36.97,37.15,37.32,37.84,36.63,36.45,36.28,35.75
615,379.8,374.1,376.8,785857.0,ADANIGAS,2021-01-04,376.9,376.95,376.85,0.02653223666754203,ADANIGAS,0.6483890880409973,Narrow,377.32,377.84,378.37,379.94,376.28,375.76,375.23,373.66
635,1079.9,1053.05,1065.95,297560.0,ADANIGREEN,2021-01-04,1066.3,1066.47,1066.13,0.03188596079901699,ADANIGREEN,0.5056976092888408,Narrow,1068.41,1070.87,1073.33,1080.72,1063.49,1061.03,1058.57,1051.18
675,50.5,49.8,50.15,4126797.0,ADANIPOWER,2021-01-04,50.15,50.15,50.15,0.0,ADANIPOWER,1.1932422733829573,Narrow,50.21,50.28,50.34,50.54,50.09,50.02,49.96,49.76
695,440.95,431.0,434.25,244567.0,ADANITRANS,2021-01-04,435.4,435.98,434.82,0.2664216812126838,ADANITRANS,0.6460221388157357,Narrow,435.16,436.07,436.99,439.72,433.34,432.43,431.51,428.78
735,25.0,24.1,24.9,20697.0,ADHUNIKIND,2021-01-04,24.67,24.55,24.79,0.9728415079043309,ADHUNIKIND,1.7104534907344942,Narrow,24.98,25.06,25.15,25.4,24.82,24.74,24.65,24.4
775,278.65,271.55,274.4,11561.0,ADORWELD,2021-01-04,274.87,275.1,274.64,0.16735183905120107,ADORWELD,0.727932409176866,Narrow,275.05,275.7,276.35,278.3,273.75,273.1,272.45,270.5
795,10.6,10.15,10.5,13592.0,ADROITINFO,2021-01-04,10.42,10.38,10.46,0.7677543186180429,ADROITINFO,1.2777750031365633,Narrow,10.54,10.58,10.62,10.75,10.46,10.42,10.38,10.25
835,52.45,49.35,51.25,6744.0,ADVANIHOTR,2021-01-04,51.02,50.9,51.14,0.47040376323010974,ADVANIHOTR,0.6219645162105868,Narrow,51.53,51.82,52.1,52.96,50.97,50.68,50.4,49.54
875,258.05,249.7,255.2,218424.0,AEGISCHEM,2021-01-04,254.32,253.88,254.76,0.346020761245673,AEGISCHEM,0.6399110893264054,Narrow,255.97,256.73,257.5,259.79,254.43,253.67,252.9,250.61
895,3891.8,3782.1,3867.15,47206.0,AFFLE,2021-01-04,3847.02,3836.95,3857.09,0.5235221028224528,AFFLE,0.7078482047393404,Narrow,3877.21,3887.26,3897.32,3927.48,3857.09,3847.04,3836.98,3806.82
915,106.95,102.4,103.75,8428.0,AGARIND,2021-01-04,104.37,104.68,104.06,0.5940404330746427,AGARIND,1.0667990230510227,Narrow,104.17,104.58,105.0,106.25,103.33,102.92,102.5,101.25
975,16.9,15.5,16.45,134092.0,AGROPHOS,2021-01-04,16.28,16.2,16.36,0.9828009828009836,AGROPHOS,1.3951077953520816,Narrow,16.58,16.71,16.83,17.22,16.32,16.19,16.07,15.68
995,169.75,165.25,166.2,1244.0,AHLEAST,2021-01-04,167.07,167.5,166.64,0.5147542946070591,AHLEAST,0.733852058902529,Narrow,166.61,167.02,167.44,168.68,165.79,165.38,164.96,163.72
1015,268.0,262.35,266.25,14049.0,AHLUCONT,2021-01-04,265.53,265.18,265.88,0.2636236960042137,AHLUCONT,0.5313045191204842,Narrow,266.77,267.29,267.8,269.36,265.73,265.21,264.7,263.14
1095,1659.4,1635.0,1651.05,103102.0,AJANTPHARM,2021-01-04,1648.48,1647.2,1649.76,0.15529457439580374,AJANTPHARM,0.5210104354018077,Narrow,1653.29,1655.52,1657.76,1664.47,1648.81,1646.58,1644.34,1637.63
1115,142.85,140.2,140.7,73782.0,AJMERA,2021-01-04,141.25,141.52,140.98,0.3823008849557667,AJMERA,1.1474391962274262,Narrow,140.94,141.19,141.43,142.16,140.46,140.21,139.97,139.24
1155,273.8,254.85,264.05,139745.0,AKSHARCHEM,2021-01-04,264.23,264.32,264.14,0.06812246906104788,AKSHARCHEM,0.7133264326152242,Narrow,265.79,267.52,269.26,274.47,262.31,260.58,258.84,253.63
1175,7.85,7.65,7.75,287348.0,AKSHOPTFBR,2021-01-04,7.75,7.75,7.75,0.0,AKSHOPTFBR,1.0028638115002164,Narrow,7.77,7.79,7.8,7.86,7.73,7.71,7.7,7.64
1215,20.4,19.45,19.8,292175.0,ALANKIT,2021-01-04,19.88,19.92,19.84,0.4024144869215385,ALANKIT,0.5447957853440353,Narrow,19.89,19.97,20.06,20.32,19.71,19.63,19.54,19.28
1235,459.0,436.0,450.85,22560.0,ALBERTDAVD,2021-01-04,448.62,447.5,449.74,0.49930899201997436,ALBERTDAVD,0.6413852655207626,Narrow,452.96,455.07,457.18,463.5,448.74,446.63,444.52,438.2
1289,394.8,365.35,377.1,21712.0,ALICON,2021-01-04,379.08,380.08,378.08,0.5275931201857128,ALICON,0.7376720947355213,Narrow,379.8,382.5,385.2,393.3,374.4,371.7,369.0,360.9
1309,48.45,47.15,48.0,8744.0,ALKALI,2021-01-04,47.87,47.8,47.94,0.29245874242740877,ALKALI,0.6738670494183424,Narrow,48.12,48.24,48.36,48.72,47.88,47.76,47.64,47.28
1329,2984.0,2914.85,2950.75,41134.0,ALKEM,2021-01-04,2949.87,2949.42,2950.32,0.030509819076775958,ALKEM,0.3501842306837943,Narrow,2957.09,2963.43,2969.77,2988.78,2944.41,2938.07,2931.73,2912.72
1349,3897.0,3820.15,3880.5,13373.0,ALKYLAMINE,2021-01-04,3865.88,3858.58,3873.18,0.3776630417912586,ALKYLAMINE,0.5250068023756246,Narrow,3887.54,3894.59,3901.63,3922.77,3873.46,3866.41,3859.37,3838.23
1369,137.45,134.0,136.35,244117.0,ALLCARGO,2021-01-04,135.93,135.72,136.14,0.30898256455527656,ALLCARGO,0.9213114925277603,Narrow,136.67,136.98,137.3,138.25,136.03,135.72,135.4,134.45
1469,200.5,195.65,198.2,7019.0,ALPHAGEO,2021-01-04,198.12,198.08,198.16,0.040379567938615024,ALPHAGEO,0.6471738754500957,Narrow,198.64,199.09,199.53,200.87,197.76,197.31,196.87,195.53
1509,931.05,918.5,925.05,336367.0,AMARAJABAT,2021-01-04,924.87,924.78,924.96,0.019462194686827736,AMARAJABAT,0.4584706296845602,Narrow,926.2,927.35,928.5,931.95,923.9,922.75,921.6,918.15
1529,2425.0,2365.25,2386.3,98235.0,AMBER,2021-01-04,2392.18,2395.12,2389.24,0.2458009012699759,AMBER,0.43721799264801564,Narrow,2391.78,2397.25,2402.73,2419.16,2380.82,2375.35,2369.87,2353.44
1549,860.0,843.2,855.7,14501.0,AMBIKCO,2021-01-04,852.97,851.6,854.34,0.3212305239340198,AMBIKCO,0.813285503201125,Narrow,857.24,858.78,860.32,864.94,854.16,852.62,851.08,846.46
1569,251.7,248.15,250.85,4011077.0,AMBUJACEM,2021-01-04,250.23,249.92,250.54,0.2477720497142647,AMBUJACEM,0.5076676486555237,Narrow,251.18,251.5,251.83,252.8,250.52,250.2,249.87,248.9
1609,26.75,25.55,26.5,24960.0,AMJLAND,2021-01-04,26.27,26.15,26.39,0.9135896459840198,AMJLAND,1.2672630621043484,Narrow,26.61,26.72,26.83,27.16,26.39,26.28,26.17,25.84
1629,506.5,500.0,502.75,32562.0,AMRUTANJAN,2021-01-04,503.08,503.25,502.91,0.06758368450345373,AMRUTANJAN,0.5293140132410619,Narrow,503.35,503.94,504.54,506.32,502.15,501.56,500.96,499.18
1649,27.25,26.75,26.85,336364.0,ANANTRAJ,2021-01-04,26.95,27.0,26.9,0.3710575139146621,ANANTRAJ,0.9046479819879878,Narrow,26.9,26.94,26.99,27.12,26.8,26.76,26.71,26.58
