,index,symbol,tradedate,openPrice,highPrice,lowPrice,closePrice,volume,timestamp,pattern,CandlePattern,PatternType,range,NR7,NR4
13,13,20MICRONS,20210101,40.75,40.8,39.8,40.05,126229,2021-01-01,0,CDLSHORTLINE,Bearish,1.0,,
13,27,21STCENMGM,20210101,10.65,10.65,10.45,10.65,978,2021-01-01,0,CDLTAKURI,Bullish,0.20000000000000107,,
13,41,3IINFOTECH,20210101,6.75,6.75,6.75,6.75,666689,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,55,3MINDIA,20210101,20830.7,21243.95,20830.7,21127.6,1663,2021-01-01,0,CDLSHORTLINE,Bullish,413.25,,
13,69,3PLAND,20210101,11.35,11.65,10.8,11.2,18637,2021-01-01,0,,,0.8499999999999996,,
13,83,5PAISA,20210101,307.9,307.9,295.0,302.15,10239,2021-01-01,0,CDLHOMINGPIGEON,Bullish,12.899999999999977,,
13,97,63MOONS,20210101,81.8,83.0,80.05,82.1,32625,2021-01-01,0,CDLSPINNINGTOP,Bullish,2.950000000000003,,
13,125,A2ZINFRA,20210101,4.75,5.3,4.75,5.3,1764688,2021-01-01,0,CDLMARUBOZU,Bullish,0.5499999999999998,,
13,153,AARON,20210101,52.9,52.9,50.4,51.85,10752,2021-01-01,0,,,2.5,,
13,167,AARTIDRUGS,20210101,710.0,747.5,708.5,735.0,1450044,2021-01-01,0,CDLHIKKAKE,Bearish,39.0,,
13,181,AARTIIND,20210101,1244.0,1275.0,1242.1,1260.5,406198,2021-01-01,0,CDLBELTHOLD,Bullish,32.90000000000009,,
13,195,AARTISURF,20210101,1030.0,1060.2,1009.0,1025.6,17725,2021-01-01,0,CDLSPINNINGTOP,Bearish,51.200000000000045,,
13,209,AARVEEDEN,20210101,18.2,18.85,17.45,18.0,15006,2021-01-01,0,CDLSPINNINGTOP,Bearish,1.4000000000000021,,
13,223,AARVI,20210101,50.5,51.9,46.25,50.3,106231,2021-01-01,0,CDLSPINNINGTOP,Bearish,5.649999999999999,,
13,237,AAVAS,20210101,1703.0,1736.45,1685.15,1720.65,18196,2021-01-01,0,CDLSHORTLINE,Bullish,51.299999999999955,,
13,251,ABAN,20210101,28.9,29.35,28.5,28.9,37768,2021-01-01,0,CDLSPINNINGTOP,Bullish,0.8500000000000014,,
13,265,ABB,20210101,1212.0,1238.5,1212.0,1232.7,95451,2021-01-01,0,CDLLONGLINE,Bullish,26.5,,
13,279,ABBOTINDIA,20210101,15800.0,15856.3,15698.0,15746.0,22888,2021-01-01,0,CDLSHORTLINE,Bearish,158.29999999999927,,
13,293,ABCAPITAL,20210101,85.0,89.8,84.8,89.1,4001702,2021-01-01,0,CDLLONGLINE,Bullish,5.0,,
13,307,ABFRL,20210101,166.65,168.8,165.9,166.5,1109915,2021-01-01,0,CDLSPINNINGTOP,Bearish,2.9000000000000057,,
13,321,ABMINTLTD,20210101,23.75,24.9,23.75,24.9,492,2021-01-01,0,CDLMARUBOZU,Bullish,1.1499999999999986,,
13,363,ACC,20210101,1617.2,1632.0,1615.65,1626.1,647892,2021-01-01,0,CDLSHORTLINE,Bullish,16.34999999999991,,
13,377,ACCELYA,20210101,963.65,968.0,947.9,958.85,4158,2021-01-01,0,CDLTAKURI,Bullish,20.100000000000023,,
13,391,ACCURACY,20210101,36.05,37.75,35.85,36.8,5092,2021-01-01,0,,,1.8999999999999986,,
13,405,ACE,20210101,136.85,144.9,136.2,142.75,907253,2021-01-01,0,CDLSEPARATINGLINES,Bullish,8.700000000000017,,
13,419,ADANIENT,20210101,477.0,493.25,477.0,491.15,5035248,2021-01-01,0,CDLMARUBOZU,Bullish,16.25,,
13,447,ADANIGREEN,20210101,1079.9,1079.9,1053.05,1065.95,297560,2021-01-01,0,,,26.850000000000136,,
13,461,ADANIPORTS,20210101,485.0,508.0,482.55,503.85,7815730,2021-01-01,0,CDLLONGLINE,Bullish,25.44999999999999,,
13,475,ADANIPOWER,20210101,49.8,50.5,49.8,50.15,4126797,2021-01-01,0,CDLSHORTLINE,Bullish,0.7000000000000028,,
13,489,ADANITRANS,20210101,438.9,440.95,431.0,434.25,244567,2021-01-01,0,CDLSHORTLINE,Bearish,9.949999999999989,,
13,503,ADFFOODS,20210101,653.75,667.95,636.25,640.9,132304,2021-01-01,0,,,31.700000000000045,,
13,517,ADHUNIKIND,20210101,24.5,25.0,24.1,24.9,20697,2021-01-01,0,CDLSHORTLINE,Bullish,0.8999999999999986,,
13,545,ADORWELD,20210101,271.85,278.65,271.55,274.4,11561,2021-01-01,0,CDLSHOOTINGSTAR,Bearish,7.099999999999966,,
13,559,ADROITINFO,20210101,10.6,10.6,10.15,10.5,13592,2021-01-01,0,,,0.4499999999999993,,
13,573,ADSL,20210101,39.1,39.1,37.25,39.1,347443,2021-01-01,0,CDLTAKURI,Bullish,1.8500000000000014,,
13,587,ADVANIHOTR,20210101,52.45,52.45,49.35,51.25,6744,2021-01-01,0,,,3.1000000000000014,,
13,601,ADVENZYMES,20210101,334.75,344.7,334.75,336.7,239573,2021-01-01,0,CDL3OUTSIDE,Bullish,9.949999999999989,,
13,615,AEGISCHEM,20210101,250.0,258.05,249.7,255.2,218424,2021-01-01,0,CDLLONGLINE,Bullish,8.350000000000023,,
13,629,AFFLE,20210101,3806.95,3891.8,3782.1,3867.15,47206,2021-01-01,0,CDLSHORTLINE,Bullish,109.70000000000027,,
13,657,AGCNET,20210101,730.1,740.0,689.2,735.15,7240,2021-01-01,0,,,50.799999999999955,,
13,671,AGRITECH,20210101,38.0,40.45,38.0,39.95,5659,2021-01-01,0,CDLLONGLINE,Bullish,2.450000000000003,,
13,685,AGROPHOS,20210101,16.65,16.9,15.5,16.45,134092,2021-01-01,0,CDLSPINNINGTOP,Bearish,1.3999999999999986,,
13,699,AHLEAST,20210101,167.95,169.75,165.25,166.2,1244,2021-01-01,0,CDLSHORTLINE,Bearish,4.5,,
13,713,AHLUCONT,20210101,265.85,268.0,262.35,266.25,14049,2021-01-01,0,CDLSPINNINGTOP,Bullish,5.649999999999977,,
13,727,AHLWEST,20210101,260.15,287.5,255.6,258.4,11115,2021-01-01,0,CDLSPINNINGTOP,Bearish,31.900000000000006,,
13,741,AIAENG,20210101,1975.0,2024.95,1956.35,1968.1,97568,2021-01-01,0,CDLSPINNINGTOP,Bearish,68.60000000000014,,
13,755,AIRAN,20210101,19.55,19.75,18.15,18.55,56723,2021-01-01,0,,,1.6000000000000014,,
13,769,AJANTPHARM,20210101,1643.1,1659.4,1635.0,1651.05,103102,2021-01-01,0,CDLSPINNINGTOP,Bullish,24.40000000000009,,
13,783,AJMERA,20210101,141.05,142.85,140.2,140.7,73782,2021-01-01,0,CDLSPINNINGTOP,Bearish,2.6500000000000057,,
13,797,AKASH,20210101,234.9,244.5,225.5,243.85,43973,2021-01-01,0,CDLCLOSINGMARUBOZU,Bullish,19.0,,
13,811,AKSHARCHEM,20210101,258.0,273.8,254.85,264.05,139745,2021-01-01,0,,,18.950000000000017,,
13,825,AKSHOPTFBR,20210101,7.85,7.85,7.65,7.75,287348,2021-01-01,0,CDLSHORTLINE,Bearish,0.1999999999999993,,
13,839,AKZOINDIA,20210101,2430.0,2467.75,2371.5,2397.95,12707,2021-01-01,0,CDLMATCHINGLOW,Bullish,96.25,,
13,853,ALANKIT,20210101,20.25,20.4,19.45,19.8,292175,2021-01-01,0,,,0.9499999999999993,,
13,867,ALBERTDAVD,20210101,436.0,459.0,436.0,450.85,22560,2021-01-01,0,CDLENGULFING,Bullish,23.0,,
13,890,ALEMBICLTD,20210101,107.25,108.25,104.55,105.3,665273,2021-01-01,0,CDLSHORTLINE,Bearish,3.700000000000003,,
13,904,ALICON,20210101,388.0,394.8,365.35,377.1,21712,2021-01-01,0,CDLCOUNTERATTACK,Bearish,29.44999999999999,,
13,918,ALKALI,20210101,47.2,48.45,47.15,48.0,8744,2021-01-01,0,CDLSHORTLINE,Bullish,1.3000000000000043,,
13,932,ALKEM,20210101,2930.0,2984.0,2914.85,2950.75,41134,2021-01-01,0,,,69.15000000000009,,
13,946,ALKYLAMINE,20210101,3829.95,3897.0,3820.15,3880.5,13373,2021-01-01,0,CDLSHORTLINE,Bullish,76.84999999999991,,
13,960,ALLCARGO,20210101,134.35,137.45,134.0,136.35,244117,2021-01-01,0,CDLSHORTLINE,Bullish,3.4499999999999886,,
13,974,ALLSEC,20210101,294.1,295.0,278.15,293.0,23232,2021-01-01,0,CDLTAKURI,Bullish,16.850000000000023,,
13,988,ALMONDZ,20210101,21.45,21.7,20.1,21.3,19044,2021-01-01,0,CDLSPINNINGTOP,Bearish,1.5999999999999979,,
13,1002,ALOKINDS,20210101,23.5,24.4,23.3,23.55,21049768,2021-01-01,0,CDLSPINNINGTOP,Bullish,1.0999999999999979,,
13,1016,ALPA,20210101,36.2,36.85,35.2,36.45,24727,2021-01-01,0,CDLSPINNINGTOP,Bullish,1.6499999999999986,,
13,1030,ALPHAGEO,20210101,200.5,200.5,195.65,198.2,7019,2021-01-01,0,CDLSHORTLINE,Bearish,4.849999999999994,,
13,1058,AMARAJABAT,20210101,928.0,931.05,918.5,925.05,336367,2021-01-01,0,CDLTAKURI,Bullish,12.549999999999955,,
13,1072,AMBER,20210101,2365.25,2425.0,2365.25,2386.3,98235,2021-01-01,0,CDLHIKKAKE,Bearish,59.75,,
13,1086,AMBIKCO,20210101,859.95,860.0,843.2,855.7,14501,2021-01-01,0,CDLTAKURI,Bullish,16.799999999999955,,
13,1100,AMBUJACEM,20210101,249.0,251.7,248.15,250.85,4011077,2021-01-01,0,CDLSHORTLINE,Bullish,3.549999999999983,,
13,1114,AMDIND,20210101,19.6,21.75,18.65,20.9,83063,2021-01-01,0,,,3.1000000000000014,,
13,1128,AMJLAND,20210101,25.55,26.75,25.55,26.5,24960,2021-01-01,0,CDLMARUBOZU,Bullish,1.1999999999999993,,
13,1142,AMRUTANJAN,20210101,503.8,506.5,500.0,502.75,32562,2021-01-01,0,CDLSPINNINGTOP,Bearish,6.5,,
13,1156,ANANTRAJ,20210101,27.2,27.25,26.75,26.85,336364,2021-01-01,0,CDLSHORTLINE,Bearish,0.5,,
13,1170,ANDHRACEMT,20210101,6.25,6.3,5.9,6.3,431003,2021-01-01,0,CDLHIKKAKE,Bearish,0.39999999999999947,,
13,1184,ANDHRAPAP,20210101,217.8,221.85,215.15,217.7,109598,2021-01-01,0,CDLSPINNINGTOP,Bearish,6.699999999999989,,
13,1198,ANDHRSUGAR,20210101,320.05,324.8,319.25,320.85,54502,2021-01-01,0,CDLSHORTLINE,Bullish,5.550000000000011,,
13,1212,ANGELBRKG,20210101,338.0,341.2,334.7,336.65,125610,2021-01-01,0,CDLSPINNINGTOP,Bearish,6.5,,
13,1226,ANIKINDS,20210101,16.4,16.55,15.35,16.5,52313,2021-01-01,0,,,1.200000000000001,,
13,1240,ANKITMETAL,20210101,1.7,1.7,1.7,1.7,40294,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,1254,ANSALAPI,20210101,11.8,11.8,11.8,11.8,27594,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,1268,ANSALHSG,20210101,7.35,7.35,7.35,7.35,29045,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,1282,ANUP,20210101,740.0,740.05,718.3,721.95,11091,2021-01-01,0,CDLSHORTLINE,Bearish,21.75,,
13,1296,APARINDS,20210101,350.7,355.15,346.25,347.9,21542,2021-01-01,0,,,8.899999999999977,,
13,1310,APCL,20210101,213.4,215.8,208.1,212.8,34671,2021-01-01,0,CDLSPINNINGTOP,Bearish,7.700000000000017,,
13,1324,APCOTEXIND,20210101,166.25,168.0,164.8,165.4,40214,2021-01-01,0,,,3.1999999999999886,,
13,1338,APEX,20210101,306.75,313.25,306.5,307.35,42089,2021-01-01,0,CDLLONGLEGGEDDOJI,Bullish,6.75,,
13,1352,APLAPOLLO,20210101,884.8,884.8,841.5,859.8,514913,2021-01-01,0,CDLBELTHOLD,Bearish,43.299999999999955,,
13,1366,APLLTD,20210101,1035.0,1050.0,1034.0,1042.6,64268,2021-01-01,0,CDLSHORTLINE,Bullish,16.0,,
13,1380,APOLLO,20210101,123.8,124.9,123.1,123.8,46706,2021-01-01,0,CDLTRISTAR,Bearish,1.8000000000000114,,
13,1394,APOLLOHOSP,20210101,2405.5,2430.0,2395.0,2414.85,423934,2021-01-01,0,CDLSPINNINGTOP,Bullish,35.0,,
13,1408,APOLLOPIPE,20210101,723.0,727.0,703.0,716.95,58658,2021-01-01,0,,,24.0,,
13,1422,APOLLOTYRE,20210101,178.45,180.95,177.2,179.9,7089146,2021-01-01,0,CDLSHORTLINE,Bullish,3.75,,
13,1436,APOLSINHOT,20210101,580.75,604.0,580.0,597.05,1468,2021-01-01,0,CDLSHORTLINE,Bullish,24.0,,
13,1450,APTECHT,20210101,156.0,160.65,155.35,156.7,299972,2021-01-01,0,CDLLONGLEGGEDDOJI,Bullish,5.300000000000011,,
13,1478,ARCHIES,20210101,14.3,14.45,13.7,13.95,34716,2021-01-01,0,,,0.75,,
13,1501,ARENTERP,20210101,12.9,12.9,12.05,12.65,2443,2021-01-01,0,CDLBELTHOLD,Bearish,0.8499999999999996,,
13,1515,ARIES,20210101,103.0,104.75,102.55,102.95,58172,2021-01-01,0,CDLSPINNINGTOP,Bearish,2.200000000000003,,
13,1529,ARIHANT,20210101,21.85,24.3,21.85,23.2,2390,2021-01-01,0,CDLBELTHOLD,Bullish,2.4499999999999993,,
13,1543,ARIHANTSUP,20210101,32.0,32.0,29.65,29.65,471061,2021-01-01,0,CDLMARUBOZU,Bearish,2.3500000000000014,,
13,1557,ARMANFIN,20210101,736.65,746.0,720.0,725.9,8823,2021-01-01,0,CDLHIKKAKE,,26.0,,
13,1571,AROGRANITE,20210101,48.45,50.2,48.3,49.3,34831,2021-01-01,0,CDLSHORTLINE,Bullish,1.9000000000000057,,
13,1613,ARSSINFRA,20210101,28.35,28.35,28.35,28.35,9995,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,1627,ARTEMISMED,20210101,225.0,225.0,218.1,219.45,291,2021-01-01,0,CDLLONGLINE,Bearish,6.900000000000006,,
13,1641,ARVIND,20210101,46.9,48.65,46.8,47.6,2029153,2021-01-01,0,CDLHIKKAKE,Bearish,1.8500000000000014,,
13,1655,ARVINDFASN,20210101,155.8,157.3,153.5,154.65,228566,2021-01-01,0,CDLSHORTLINE,Bearish,3.8000000000000114,,
13,1669,ARVSMART,20210101,113.35,115.0,112.2,113.35,49449,2021-01-01,0,CDLSPINNINGTOP,Bullish,2.799999999999997,,
13,1683,ASAHIINDIA,20210101,276.15,279.45,273.9,277.9,42785,2021-01-01,0,CDLSHORTLINE,Bullish,5.550000000000011,,
13,1697,ASAHISONG,20210101,247.15,254.2,246.45,249.15,13457,2021-01-01,0,CDLINVERTEDHAMMER,Bullish,7.75,,
13,1725,ASALCBR,20210101,323.0,330.0,321.6,325.6,93027,2021-01-01,0,,,8.399999999999977,,
13,1739,ASHAPURMIN,20210101,114.1,114.1,114.1,114.1,90796,2021-01-01,0,CDLSHORTLINE,Bullish,0.0,,
13,1753,ASHIANA,20210101,112.25,112.5,108.0,108.25,203559,2021-01-01,0,CDLMARUBOZU,Bearish,4.5,,
13,1767,ASHIMASYN,20210101,12.2,12.7,12.05,12.55,17853,2021-01-01,0,CDLSHORTLINE,Bullish,0.6499999999999986,,
13,1781,ASHOKA,20210101,92.5,94.0,92.15,93.45,1283612,2021-01-01,0,CDLSHORTLINE,Bullish,1.8499999999999943,,
13,1795,ASHOKLEY,20210101,95.7,99.9,95.7,99.1,27149384,2021-01-01,0,CDLLONGLINE,Bullish,4.200000000000003,,
13,1809,ASIANHOTNR,20210101,75.9,78.0,74.0,74.35,11831,2021-01-01,0,CDLSHORTLINE,Bearish,4.0,,
13,1823,ASIANPAINT,20210101,2759.0,2792.0,2750.0,2775.55,1246698,2021-01-01,0,CDLADVANCEBLOCK,Bearish,42.0,,
13,1837,ASIANTILES,20210101,283.0,283.3,281.5,282.05,133759,2021-01-01,0,CDLSHORTLINE,Bearish,1.8000000000000114,,
13,1851,ASPINWALL,20210101,169.75,173.25,162.0,169.05,2509,2021-01-01,0,CDLSPINNINGTOP,Bearish,11.25,,
13,1865,ASTEC,20210101,1292.0,1315.05,1279.7,1287.85,42994,2021-01-01,0,CDLSPINNINGTOP,Bearish,35.34999999999991,,
13,1879,ASTERDM,20210101,165.1,168.5,164.1,167.3,72658,2021-01-01,0,CDLSHORTLINE,Bullish,4.400000000000006,,
13,1893,ASTRAL,20210101,1725.0,1773.95,1721.2,1746.35,198839,2021-01-01,0,,,52.75,,
13,1907,ASTRAMICRO,20210101,124.7,125.65,124.2,124.85,210297,2021-01-01,0,CDLSPINNINGTOP,Bullish,1.4500000000000028,,
13,1921,ASTRAZEN,20210101,4639.0,4675.0,4613.35,4628.4,133878,2021-01-01,0,CDLSPINNINGTOP,Bearish,61.649999999999636,,
13,1935,ASTRON,20210101,52.15,54.5,51.9,53.25,123197,2021-01-01,0,CDLSHOOTINGSTAR,Bearish,2.6000000000000014,,
13,1949,ATFL,20210101,922.0,945.25,867.7,877.5,61688,2021-01-01,0,CDLENGULFING,Bearish,77.54999999999995,,
13,1963,ATLANTA,20210101,8.85,9.05,8.45,9.05,30655,2021-01-01,0,CDLHANGINGMAN,Bearish,0.6000000000000014,,
13,1977,ATUL,20210101,6430.1,6464.0,6355.0,6371.2,12067,2021-01-01,0,CDLSHORTLINE,Bearish,109.0,,
13,1991,ATULAUTO,20210101,184.25,186.5,182.4,184.0,126281,2021-01-01,0,CDLSPINNINGTOP,Bearish,4.099999999999994,,
13,2005,AUBANK,20210101,855.0,880.65,847.25,875.35,756071,2021-01-01,0,CDLLONGLINE,Bullish,33.39999999999998,,
13,2019,AURIONPRO,20210101,90.85,93.45,89.5,90.3,28825,2021-01-01,0,CDLSPINNINGTOP,Bearish,3.950000000000003,,
13,2033,AUROPHARMA,20210101,923.7,934.7,914.05,927.75,2510737,2021-01-01,0,CDLSPINNINGTOP,Bullish,20.65000000000009,,
13,2047,AUSOMENT,20210101,53.0,53.75,51.7,53.55,7726,2021-01-01,0,CDLHANGINGMAN,Bearish,2.049999999999997,,
13,2061,AUTOAXLES,20210101,1024.9,1065.0,1021.0,1044.15,44392,2021-01-01,0,CDLSHORTLINE,Bullish,44.0,,
13,2075,AUTOIND,20210101,35.35,36.2,34.45,35.35,24257,2021-01-01,0,CDLSPINNINGTOP,Bullish,1.75,,
13,2103,AVADHSUGAR,20210101,215.15,219.7,214.0,215.55,51079,2021-01-01,0,CDLSPINNINGTOP,Bullish,5.699999999999989,,
13,2117,AVANTIFEED,20210101,524.9,527.0,518.5,520.3,275863,2021-01-01,0,CDLSHORTLINE,Bearish,8.5,,
13,2131,AVTNPL,20210101,49.0,50.45,48.5,49.9,307054,2021-01-01,0,CDLSHORTLINE,Bullish,1.9500000000000028,,
0,2132,AWHCL,20210101,436.1,489.9,395.55,407.35,23063817,2021-01-01,0,,,94.34999999999997,,
13,2146,AXISBANK,20210101,620.25,625.45,617.55,623.8,6047062,2021-01-01,0,CDLSHORTLINE,Bullish,7.900000000000091,,
13,2174,AXISCADES,20210101,55.6,58.35,55.6,57.95,106166,2021-01-01,0,CDLLONGLINE,Bullish,2.75,,
13,2216,AYMSYNTEX,20210101,38.7,40.6,38.7,40.3,21231,2021-01-01,0,CDLLONGLINE,Bullish,1.8999999999999986,,
13,2230,BAFNAPH,20210101,162.35,179.0,162.35,169.3,5347,2021-01-01,0,CDLBELTHOLD,Bullish,16.650000000000006,,
13,2244,BAGFILMS,20210101,3.3,3.4,3.15,3.4,202654,2021-01-01,0,,,0.25,,
13,2258,BAJAJ-AUTO,20210101,3446.0,3494.0,3446.0,3481.25,421643,2021-01-01,0,CDLSHORTLINE,Bullish,48.0,,
13,2272,BAJAJCON,20210101,216.1,218.7,214.45,217.9,244369,2021-01-01,0,CDLSHORTLINE,Bullish,4.25,,
13,2286,BAJAJELEC,20210101,619.8,619.8,608.4,610.8,56611,2021-01-01,0,CDLMATCHINGLOW,Bullish,11.399999999999977,,
13,2300,BAJAJFINSV,20210101,8930.0,8958.7,8840.0,8870.45,288101,2021-01-01,0,CDLSHORTLINE,Bearish,118.70000000000073,,
13,2314,BAJAJHIND,20210101,6.2,6.25,6.1,6.15,1446948,2021-01-01,0,CDLSHORTLINE,Bearish,0.15000000000000036,,
13,2328,BAJAJHLDNG,20210101,3091.7,3136.85,3071.2,3119.15,38786,2021-01-01,0,CDLSHORTLINE,Bullish,65.65000000000009,,
13,2342,BAJFINANCE,20210101,5310.2,5338.0,5250.0,5280.15,1447187,2021-01-01,0,CDLSHORTLINE,Bearish,88.0,,
13,2356,BALAJITELE,20210101,67.15,70.65,67.15,68.3,300442,2021-01-01,0,,,3.5,,
13,2370,BALAMINES,20210101,929.0,944.5,927.05,939.2,77017,2021-01-01,0,CDLSHORTLINE,Bullish,17.450000000000045,,
13,2384,BALAXI,20210101,649.75,650.0,640.0,641.15,887,2021-01-01,0,CDLSHORTLINE,Bearish,10.0,,
13,2412,BALKRISIND,20210101,1646.0,1652.8,1630.0,1642.1,415331,2021-01-01,0,CDLSPINNINGTOP,Bearish,22.799999999999955,,
13,2426,BALMLAWRIE,20210101,128.85,129.35,126.0,126.9,480219,2021-01-01,0,CDLSHORTLINE,Bearish,3.3499999999999943,,
13,2440,BALPHARMA,20210101,56.3,56.5,54.55,56.2,7671,2021-01-01,0,CDLTAKURI,Bullish,1.9500000000000028,,
13,2454,BALRAMCHIN,20210101,173.0,173.4,170.55,171.5,386332,2021-01-01,0,CDLSHORTLINE,Bearish,2.8499999999999943,,
13,2468,BANARBEADS,20210101,57.0,58.3,56.4,56.85,9403,2021-01-01,0,CDLSPINNINGTOP,Bearish,1.8999999999999986,,
13,2482,BANARISUG,20210101,1417.3,1470.0,1400.0,1434.95,1521,2021-01-01,0,CDLENGULFING,Bullish,70.0,,
13,2496,BANCOINDIA,20210101,148.25,149.8,142.0,146.55,136293,2021-01-01,0,,,7.800000000000011,,
13,2510,BANDHANBNK,20210101,402.0,404.95,396.0,400.2,5230681,2021-01-01,0,CDLSPINNINGTOP,Bearish,8.949999999999989,,
13,2524,BANG,20210101,31.7,31.7,29.8,30.9,5891,2021-01-01,0,,,1.8999999999999986,,
13,2538,BANKA,20210101,51.6,54.1,51.5,54.1,9403,2021-01-01,0,CDLMARUBOZU,Bullish,2.6000000000000014,,
13,2552,BANKBARODA,20210101,61.8,64.8,61.6,64.5,43369915,2021-01-01,0,CDLLONGLINE,Bullish,3.1999999999999957,,
13,2580,BANKINDIA,20210101,49.0,50.4,48.8,50.15,3975811,2021-01-01,0,CDLLONGLINE,Bullish,1.6000000000000014,,
13,2608,BANSWRAS,20210101,126.85,132.7,125.0,132.4,33172,2021-01-01,0,CDLLONGLINE,Bullish,7.699999999999989,,
13,2622,BASF,20210101,1620.0,1635.0,1616.45,1628.4,12191,2021-01-01,0,CDLSHORTLINE,Bullish,18.549999999999955,,
